WKT,WKT_1,INTERID,X_COORD,Y_COORD,POSTID,POSTDATE,TYPE,PENDING,RuleID,intersection_name
POINT (-117.15657121486 32.7219954703876),POINT (-117.15657121486 32.7219954703876),"95449","6282840.00000000000","1843688.00000000000",fjessie,2016-04-20,I,N,"10",
POINT (-117.163852181579 32.7198913475203),POINT (-117.163852181579 32.7198913475203),"95919","6280594.00000000000","1842942.00000000000",fjessie,2019-04-10,I,N,"10",
POINT (-117.156559427456 32.7199011896949),POINT (-117.156559427456 32.7199011896949),"95940","6282837.00000000000","1842926.00000000000",fjessie,2016-06-03,I,N,"10",
POINT (-117.169175871719 32.7188104960165),POINT (-117.169175871719 32.7188104960165),"96164","6278953.17300000042","1842563.14400000009",adowling,2016-07-14,I,N,"10",
POINT (-117.166487660078 32.7188191108497),POINT (-117.166487660078 32.7188191108497),"96172","6279780.00000000000","1842559.00000000000",fjessie,2019-04-10,I,N,"10",
POINT (-117.164727674753 32.7177822406996),POINT (-117.164727674753 32.7177822406996),"96388","6280318.00000000000","1842176.99900000007",fjessie,2019-04-10,I,N,"10",
POINT (-117.154708864227 32.7178230548897),POINT (-117.154708864227 32.7178230548897),"96405","6283399.60099999979","1842164.96200000006",fjessie,2019-04-17,I,N,"10",
POINT (-117.169166915196 32.7157153377343),POINT (-117.169166915196 32.7157153377343),"96859","6278946.00000000000","1841437.00000000000",fjessie,2019-05-17,I,N,"10",
POINT (-117.166491186417 32.7157187590696),POINT (-117.166491186417 32.7157187590696),"96864","6279769.00000000000","1841431.00000000000",fjessie,2019-05-17,I,N,"10",
POINT (-117.164716036401 32.7157209434138),POINT (-117.164716036401 32.7157209434138),"96867","6280315.00000000000","1841427.00000000000",fjessie,2019-05-17,I,N,"10",
POINT (-117.161080894815 32.7156956285628),POINT (-117.161080894815 32.7156956285628),"96881","6281433.00100000016","1841408.00000000000",fjessie,2016-06-03,I,N,"10",
POINT (-117.159260319686 32.715706315482),POINT (-117.159260319686 32.715706315482),"96883","6281993.00000000000","1841407.00000000000",fjessie,2019-01-16,I,N,"10",
POINT (-117.154699076544 32.715728864351),POINT (-117.154699076544 32.715728864351),"96888","6283396.00000000000","1841403.00000000000",fjessie,2019-01-16,I,N,"10",
POINT (-117.158336002647 32.7146659427844),POINT (-117.158336002647 32.7146659427844),"97140","6282274.00000000000","1841026.00000000000",fjessie,2019-01-16,I,N,"10",
POINT (-117.14948028641 32.7147171044614),POINT (-117.14948028641 32.7147171044614),"97151","6284997.99899999984","1841021.00000000000",fjessie,2019-01-16,I,N,"10",
POINT (-117.169175960463 32.7125297403117),POINT (-117.169175960463 32.7125297403117),"97614","6278933.00000000000","1840278.00000000000",fjessie,2019-05-17,I,N,"10",
POINT (-117.161965229786 32.7125530378534),POINT (-117.161965229786 32.7125530378534),"97625","6281151.00000000000","1840267.00000000000",fjessie,2016-03-30,I,N,"10",
POINT (-117.169177414147 32.7114220776069),POINT (-117.169177414147 32.7114220776069),"97857","6278929.00000000000","1839875.00000000000",fjessie,2019-05-17,I,N,"10",
POINT (-117.158309906693 32.7115025960756),POINT (-117.158309906693 32.7115025960756),"97859","6282272.00000000000","1839875.00000000000",fjessie,2019-01-16,I,N,"10",
POINT (-117.14945752822 32.7115317457703),POINT (-117.14945752822 32.7115317457703),"97871","6284995.00100000016","1839862.00000000000",fjessie,2019-01-31,I,N,"10",
POINT (-117.160998184215 32.7083219766954),POINT (-117.160998184215 32.7083219766954),"98535","6281435.00000000000","1838725.00000000000",fjessie,2015-09-06,I,N,"10",
POINT (-117.159194011666 32.7083325425888),POINT (-117.159194011666 32.7083325425888),"98539","6281990.00000000000","1838724.00000000000",fjessie,2016-12-02,I,N,"10",
POINT (-117.158266522055 32.7072921935534),POINT (-117.158266522055 32.7072921935534),"98794","6282272.00000000000","1838343.00000000000",fjessie,2016-12-02,I,N,"10",
POINT (-117.149429834913 32.7062685491304),POINT (-117.149429834913 32.7062685491304),"99039","6284987.00000000000","1837947.00000000000",fjessie,2019-05-17,I,N,"10",
POINT (-117.16385740915 32.7219615454328),POINT (-117.16385740915 32.7219615454328),"95443","6280598.99399999995","1843695.21999999997",fjessie,2019-04-10,P,N,"14",
POINT (-117.161901856285 32.708312549353),POINT (-117.161901856285 32.708312549353),"98537","6281156.99899999984","1838724.00000000000",fjessie,2015-09-06,N,N,"15",
POINT (-117.158255843258 32.7063243764359),POINT (-117.158255843258 32.7063243764359),,,,,,,,,
