date,count
2012-01-01,486
2012-02-01,485
2012-03-01,405
2012-04-01,453
2012-05-01,513
2012-06-01,502
2012-07-01,672
2012-08-01,623
2012-09-01,725
2012-10-01,887
2012-11-01,636
2012-12-01,593
2013-01-01,531
2013-02-01,568
2013-03-01,458
2013-04-01,509
2013-05-01,563
2013-06-01,599
2013-07-01,571
2013-08-01,619
2013-09-01,556
2013-10-01,541
2013-11-01,557
2013-12-01,508
2014-01-01,569
2014-02-01,568
2014-03-01,634
2014-04-01,585
2014-05-01,597
2014-06-01,662
2014-07-01,679
2014-08-01,630
2014-09-01,614
2014-10-01,644
2014-11-01,538
2014-12-01,555
2015-01-01,685
2015-02-01,744
2015-03-01,717
2015-04-01,695
2015-05-01,629
2015-06-01,720
2015-07-01,810
2015-08-01,657
2015-09-01,581
2015-10-01,677
2015-11-01,765
2015-12-01,884
2016-01-01,672
2016-02-01,811
2016-03-01,842
2016-04-01,843
2016-05-01,1148
2016-06-01,1156
2016-07-01,1162
2016-08-01,1386
2016-09-01,1140
2016-10-01,1130
2016-11-01,1170
2016-12-01,1415
2017-01-01,882
2017-02-01,1027
2017-03-01,1105
2017-04-01,875
2017-05-01,892
2017-06-01,1156
2017-07-01,1100
2017-08-01,1335
2017-09-01,1275
2017-10-01,1091
2017-11-01,941
2017-12-01,1012
2018-01-01,804
2018-02-01,862
2018-03-01,980
2018-04-01,791
2018-05-01,904
2018-06-01,759
2018-07-01,926
2018-08-01,964
2018-09-01,787
2018-10-01,739
2018-11-01,799
2018-12-01,806
2019-01-01,898
2019-02-01,799
2019-03-01,732
2019-04-01,776
