date,east village,city center,columbia,marina,cortez,gaslamp
2018-01-01,495,123,50,31,61,44
2018-02-01,474,156,58,34,56,84
2018-03-01,594,128,61,32,72,93
2018-04-01,502,111,46,37,44,51
2018-05-01,523,180,46,35,52,68
2018-06-01,459,118,53,50,40,39
2018-07-01,621,139,37,37,47,45
2018-08-01,582,146,56,72,54,55
2018-09-01,501,129,26,46,32,53
2018-10-01,504,104,34,29,16,52
2018-11-01,473,146,24,41,46,69
2018-12-01,482,147,45,52,40,40
2019-01-01,543,132,53,57,54,59
2019-02-01,497,109,43,49,33,68
2019-03-01,428,130,33,30,53,59
2019-04-01,502,107,55,33,44,36
