geometry,neighborhood,intersection
POINT (6279769.0 1841430.99999986),Columbia,State_Broadway
POINT (6279780.0 1842558.99999987),Columbia,State_A
POINT (6278946.0 1841436.99999983),Columbia,Ketner_Broadway
POINT (6278953.17300012 1842563.14399985),Columbia,Ketner_A
POINT (6280315.0 1841426.99999984),core,Front_Broadway
POINT (6280318.0 1842176.99899985),core,Front_B
POINT (6283395.99999989 1841402.99999985),core,11th_Broadway
POINT (6283399.60100012 1842164.96199983),core,11th_B
POINT (6282840.0 1843687.99999984),Cortez,9th_Cedar
POINT (6282836.99999987 1842925.99999983),Cortez,9th_Ash
POINT (6280598.99400006 1843695.21999986),Cortez,1st_Cedar
POINT (6280594.0 1842941.99999986),Cortez,1st_Ash
POINT (6282272.0 1839874.99999986),East Village,7th_Market
POINT (6284995.00099991 1839861.99999983),East Village,16th_Market
POINT (6284997.99899991 1841020.99999985),East Village,16th_E
POINT (6282274.0 1841025.99999984),East Village,7th_E
POINT (6282272.0 1839874.99999986),East Village South,7th_Market
POINT (6284987.0 1837946.99999986),East Village South,16th_Imperial
POINT (6282272.21743156 1837990.84746804),East Village South,7th_Imperial
POINT (6284995.00099991 1839861.99999983),East Village South,16th_Market
POINT (6281990.0 1838723.99999983),Gaslamp,6th_K
POINT (6281993.00000013 1841406.99999985),Gaslamp,6th_Broadway
POINT (6281435.0 1838724.99999984),Gaslamp,4th_K
POINT (6281433.0009999 1841407.99999986),Gaslamp,4th_Broadway
POINT (6278929.0 1839874.99999984),Marina,Ketner_Market
POINT (6278933.0 1840277.99999986),Marina,Ketner_G
POINT (6281156.999 1838723.99999984),Marina,3rd_K
POINT (6281151.0 1840266.99999984),Marina,3rd_G
POINT (6280315.0 1841426.99999984),City Center,Front_Broadway
POINT (6280318.0 1842176.99899985),City Center,Front_B
POINT (6283395.99999989 1841402.99999985),City Center,11th_Broadway
POINT (6283399.60100012 1842164.96199983),City Center,11th_B
POINT (6284995.965973556 1837498.1724291444),Barrio Logan,16th_Logan
POINT (6284815.309510723 1836171.631447062),Barrio Logan,Main_Sigsbee
POINT (6287564.770219132 1835343.8962258995),Barrio Logan,Logan_Evans
POINT (6286846.508204222 1834458.5886133164),Barrio Logan,Main_Evans
POINT (6285845.135206968 1842159.1903380603),Golden Hill,B_19th
POINT (6285851.602057546 1841024.0836843997),Golden Hill,E_19th
POINT (6289136.307430387 1842152.8734215647),Golden Hill,B_27th
POINT (6289139.730979964 1841108.5644865632),Golden Hill,E_27th
POINT (6285858.862213641 1840242.7000765651),Sherman Heights,G_19th
POINT (6285842.880290225 1838320.4808238894),Sherman Heights,L_19th
POINT (6287154.647679806 1840266.7971412241),Sherman Heights,G_24th
POINT (6287147.123088554 1838309.2908856422),Sherman Heights,L_24th
POINT (6279769.0 1841430.99999986),columbia,State_Broadway
POINT (6279780.0 1842558.99999987),columbia,State_A
POINT (6278946.0 1841436.99999983),columbia,Ketner_Broadway
POINT (6278953.17300012 1842563.14399985),columbia,Ketner_A
POINT (6280315.0 1841426.99999984),core,Front_Broadway
POINT (6280318.0 1842176.99899985),core,Front_B
POINT (6283395.99999989 1841402.99999985),core,11th_Broadway
POINT (6283399.60100012 1842164.96199983),core,11th_B
POINT (6282840.0 1843687.99999984),cortez,9th_Cedar
POINT (6282836.99999987 1842925.99999983),cortez,9th_Ash
POINT (6280598.99400006 1843695.21999986),cortez,1st_Cedar
POINT (6280594.0 1842941.99999986),cortez,1st_Ash
POINT (6282272.0 1839874.99999986),east_village,7th_Market
POINT (6284995.00099991 1839861.99999983),east_village,16th_Market
POINT (6284997.99899991 1841020.99999985),east_village,16th_E
POINT (6282274.0 1841025.99999984),east_village,7th_E
POINT (6282272.0 1839874.99999986),east_village_south,7th_Market
POINT (6284987.0 1837946.99999986),east_village_south,16th_Imperial
POINT (6282272.21743156 1837990.84746804),east_village_south,7th_Imperial
POINT (6284995.00099991 1839861.99999983),east_village_south,16th_Market
POINT (6281990.0 1838723.99999983),gaslamp,6th_K
POINT (6281993.00000013 1841406.99999985),gaslamp,6th_Broadway
POINT (6281435.0 1838724.99999984),gaslamp,4th_K
POINT (6281433.0009999 1841407.99999986),gaslamp,4th_Broadway
POINT (6278929.0 1839874.99999984),marina,Ketner_Market
POINT (6278933.0 1840277.99999986),marina,Ketner_G
POINT (6281156.999 1838723.99999984),marina,3rd_K
POINT (6281151.0 1840266.99999984),marina,3rd_G
POINT (6280315.0 1841426.99999984),city_center,Front_Broadway
POINT (6280318.0 1842176.99899985),city_center,Front_B
POINT (6283395.99999989 1841402.99999985),city_center,11th_Broadway
POINT (6283399.60100012 1842164.96199983),city_center,11th_B
POINT (6284995.965973556 1837498.1724291444),barrio_logan,16th_Logan
POINT (6284815.309510723 1836171.631447062),barrio_logan,Main_Sigsbee
POINT (6287564.770219132 1835343.8962258995),barrio_logan,Logan_Evans
POINT (6286846.508204222 1834458.5886133164),barrio_logan,Main_Evans
POINT (6285845.135206968 1842159.1903380603),golden_hill,B_19th
POINT (6285851.602057546 1841024.0836843997),golden_hill,E_19th
POINT (6289136.307430387 1842152.8734215647),golden_hill,B_27th
POINT (6289139.730979964 1841108.5644865632),golden_hill,E_27th
POINT (6285858.862213641 1840242.7000765651),sherman_height,G_19th
POINT (6285842.880290225 1838320.4808238894),sherman_height,L_19th
POINT (6287154.647679806 1840266.7971412241),sherman_height,G_24th
POINT (6287147.123088554 1838309.2908856422),sherman_height,L_24th
